Experiment_ID,Method_Category,Features,K-Fold,CV_Reward_0.85,CV_Avg_Performance,CV_Avg_Cost,Model_Distribution,Public_Kaggle_Score
lightgbm,regression,svd_comp500_tfidf5000_ng1-1,5,0.4443,0.552,0.0128,"{'Model_K': 3144, 'Model_H': 1610, 'Model_F': 1247, 'Model_B': 838, 'Model_D': 784, 'Model_J': 639, 'Model_G': 453, 'Model_C': 428, 'Model_I': 404, 'Model_E': 362, 'Model_A': 273}",
random_forest,regression,w2v_size100_win5,5,0.4442,0.5524,0.0131,"{'Model_K': 3256, 'Model_H': 1718, 'Model_F': 1036, 'Model_D': 929, 'Model_B': 878, 'Model_J': 684, 'Model_I': 415, 'Model_G': 392, 'Model_C': 381, 'Model_E': 270, 'Model_A': 223}",
lightgbm,regression,w2v_size100_win5,5,0.4441,0.5553,0.0144,"{'Model_K': 2750, 'Model_H': 1907, 'Model_F': 1250, 'Model_B': 942, 'Model_D': 811, 'Model_J': 619, 'Model_I': 468, 'Model_G': 400, 'Model_C': 382, 'Model_E': 353, 'Model_A': 300}",
random_forest,regression,tfidf_max5000_ng1-1,5,0.4441,0.5517,0.0128,"{'Model_K': 2840, 'Model_H': 1627, 'Model_F': 1207, 'Model_B': 890, 'Model_I': 814, 'Model_D': 783, 'Model_J': 553, 'Model_A': 392, 'Model_C': 363, 'Model_G': 358, 'Model_E': 355}",
xgboost,cost_sensitive,svd_comp500_tfidf5000_ng1-1,5,0.4417,0.5683,0.0213,"{'Model_K': 4846, 'Model_H': 2220, 'Model_F': 1104, 'Model_B': 474, 'Model_D': 387, 'Model_J': 297, 'Model_C': 289, 'Model_G': 259, 'Model_I': 151, 'Model_E': 102, 'Model_A': 53}",
lightgbm,regression,meta_len1_code1_math1,5,0.4401,0.5477,0.0131,"{'Model_K': 3906, 'Model_H': 1749, 'Model_F': 1300, 'Model_B': 880, 'Model_D': 775, 'Model_J': 461, 'Model_I': 327, 'Model_G': 253, 'Model_C': 245, 'Model_E': 193, 'Model_A': 93}",
xgboost,regression,dense_Qwen-Qwen3-Embedding-8B,10,0.4362,0.5445,0.0137,"{'Model_K': 1991, 'Model_H': 1463, 'Model_F': 1306, 'Model_B': 887, 'Model_D': 857, 'Model_J': 793, 'Model_E': 630, 'Model_C': 624, 'Model_G': 607, 'Model_I': 539, 'Model_A': 485}",
random_forest,classification,meta_len1_code1_math1,5,0.4337,0.5194,0.004,"{'Model_K': 6891, 'Model_C': 967, 'Model_D': 811, 'Model_E': 422, 'Model_J': 357, 'Model_H': 202, 'Model_F': 145, 'Model_B': 127, 'Model_I': 123, 'Model_G': 101, 'Model_A': 36}",
xgboost,regression,meta_len1_code1_math1,5,0.4336,0.5405,0.0133,"{'Model_K': 3139, 'Model_H': 1652, 'Model_F': 1414, 'Model_B': 818, 'Model_D': 720, 'Model_J': 599, 'Model_G': 421, 'Model_I': 417, 'Model_C': 384, 'Model_E': 363, 'Model_A': 255}",
xgboost,cost_sensitive,meta_len1_code1_math1,5,0.4318,0.571,0.0276,"{'Model_K': 3351, 'Model_H': 2848, 'Model_F': 1685, 'Model_B': 514, 'Model_G': 381, 'Model_J': 341, 'Model_D': 331, 'Model_I': 250, 'Model_C': 191, 'Model_E': 145, 'Model_A': 145}",
xgboost,regression,svd_comp1000_tfidf30000_ng1-3,10,0.4303,0.5345,0.0123,"{'Model_K': 2358, 'Model_H': 1380, 'Model_F': 1235, 'Model_B': 856, 'Model_D': 761, 'Model_J': 726, 'Model_E': 677, 'Model_G': 622, 'Model_C': 599, 'Model_I': 573, 'Model_A': 395}",
